number,name,is_ans,name_object,date_norm,date_buckets_2,author_norm,address,district,district_norm,protection_category_norm,base,id_object
5470,,0,Дом Петергофского дворцового правления (с палисадником),1798,1750-1799,Броуэр Ф.П.;Старов И.Е,"г. Петергоф, Правленская ул., 12",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6281
5471,,0,Парк б. фермы Ольденбургского,1800,1800-1849,,"г. Петергоф, Приморская береговая терраса",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 849 от 31.10.1988,6282
5472,,0,Дача с территорией,1800,1800-1849,,"г. Петергоф, Приморская ул., 8",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 608 от 16.07.1990,6290
5473,,0,Жилой дом,1800,1800-1849,,"г. Петергоф, Приморская ул., 8, корп. 1",Петродворцовый,14,2,Приказ председателя КГИОП № 15 от 20.02.2001,6711
5474,,0,Дача Крона с территорией,1800,1800-1849,,"г. Петергоф, Приморская ул., 8, корп. 2",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 608 от 16.07.1990,6289
5475,,0,Дача Грубе (с территорией и службами),1800,1800-1849,,"г. Петергоф, Приморская ул., 8, корп. 3",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 608 от 16.07.1990,6286
5476,,0,Дача М.Н.Бенуа (с территорией и службами),1892,1850-1899,,"г. Петергоф, Приморская ул., 8, корп. 4",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 608 от 16.07.1990,6283
5477,,0,Парк дачного комплекса «Бобыльск» («Просвещение»),1880,1850-1899,,"г. Петергоф, Приморская ул., Елизаветинская ул",Петродворцовый,14,2,Приказ председателя КГИОП № 15 от 20.02.2001,6740
5478,,0,Дом Генерта,1800,1800-1849,,"г. Петергоф, Прудовая ул., 12",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 608 от 16.07.1990,6292
5479,,0,Школа Демина,1800,1800-1849,,"г. Петергоф, Прудовая ул., 4",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 608 от 16.07.1990,6291
5480,,0,Сквер на Разводной площади,1870,1850-1899,,"г. Петергоф, Разводная пл",Петродворцовый,14,1,Распоряжение КГИОП № 517-р от 12.12.2018,6712
5481,,0,Дом флигель-адъютантский,1834,1800-1849,Шарлемань И.И. 1й,"г. Петергоф, Разводная пл., 1",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6293
5482,,0,Дом Второй Министерский,1836,1800-1849,Шарлемань И.И. 1й,"г. Петергоф, Разводная пл., 3",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6294
5483,,0,б. Военная школа,1914,1900-1949,Ильин Л.А,"г. Петергоф, Разводная ул., 15 (б. ул. Коминтерна)",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 650 от 25.08.1975,6297
