number,name,is_ans,name_object,date_norm,date_buckets_2,author_norm,address,district,district_norm,protection_category_norm,base,id_object
893,,0,Памятник композитору Глинке М.И,1906,1900-1949,Бах Р.Р.;Бах А.Р,Театральная пл,Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,362
894,,0,Памятник композитору Римскому-Корсакову Н.А,1952,1950-1999,Боголюбов В.Я.;Ингал В.И.;Шепилевский М.А,Театральная пл,Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,363
895,,0,Театр Мариинский,1847,1800-1849,Кавос А.К.;Шретер В.А,"Театральная пл., 1",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,364
896,,0,Дом Ф.Л. Гуна (С.И. Андреева),1790,1750-1799,А.Л. Гун ;С.И. Андреев,"Театральная пл., 2; Декабристов ул., 32",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,984
897,,0,Консерватория,1775,1750-1799,Ринальди А.;Тома Томан Ж.Ф.;Кавос А.К.;Николя В.В.;Бардт Т.Я,"Театральная пл., 3",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,365
898,,0,Дом Е.Т. Соколова (Бухгольца),1810,1800-1849,Е.Т. Соколов;А.А. Пуаро,"Театральная пл., 4; Грибоедова кан. наб., 105",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,985
899,,0,"Александровская больница для рабочего населения в память 19-го февраля 1861 г. Kомплeкс c тeppиторией, caдом, оградами и постаментом от несохранившегося бюста имп. Александра II",1900,1900-1949,,"Троицкий пр., 1-3 (б. пр. Москвиной); Фонтанки р. наб., 132",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,366
900,"Александровская больница для рабочего населения в память 19-го февраля 1861 г. Kомплeкс c тeppиторией, caдом, оградами и постаментом от несохранившегося бюста имп. Александра II",1,Здание аптеки и первого больничного здания с оградой по пр. Москвиной,1810,1800-1849,,Троицкий пр. (б. пр. Москвиной),Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,369
901,"Александровская больница для рабочего населения в память 19-го февраля 1861 г. Kомплeкс c тeppиторией, caдом, оградами и постаментом от несохранившегося бюста имп. Александра II",1,Часовня у Троицкого собора,1810,1800-1849,,"Троицкий пр., 1-3 (б. пр. Москвиной); Фонтанки р. наб., 132",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,368
902,"Александровская больница для рабочего населения в память 19-го февраля 1861 г. Kомплeкс c тeppиторией, caдом, оградами и постаментом от несохранившегося бюста имп. Александра II",1,"Главное здание с 6 флигелями, два здания кухни и прачечной",1864,1850-1899,Штром И.В,"Фонтанки р. наб., 132",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,10741
903,,0,"Дом, в котором в 1895 г. у М.А. Сильвина под руководством Ленина происходили встречи петербургских марксистов",NA,,,"Троицкий пр., 5 (б. пр. Москвиной)",Адмиралтейский,1,1,Решение исполкома Ленгорсовета № 124 от 27.02.1989,374
904,,0,Здание мастерских Н.Е. Фрейберга (Глебовой),1898,1850-1899,А.И. Рейнбольдт,"Троицкий пр., 6; 13-я Красноармейская ул., б/н",Адмиралтейский,1,1,Распоряжение КГИОП № 10-22 от 21.07.2009,991
905,,0,Дворец Великого князя Николая Николаевича (Ксенинский институт),1853,1850-1899,Штакеншнейдер А.И,"Труда пл., 4; Конногвардейский бульв., 19-23; Галерная ул., 22, 24, 24-б; Замятин пер., 5-7",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,375
906,Дворец Великого князя Николая Николаевича (Ксенинский институт),1,Корпус служебный,1853,1850-1899,Штакеншнейдер А.И,"Галерная ул., 24, лит. В3",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,376
907,Дворец Великого князя Николая Николаевича (Ксенинский институт),1,Корпус для прислуги,1853,1850-1899,Штакеншнейдер А.И,"Конногвардейский бульвар, 19, Замятин пер., 5-7",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,383
908,Дворец Великого князя Николая Николаевича (Ксенинский институт),1,Ограда,1853,1850-1899,Штакеншнейдер А.И,"Конногвардейский бульвар, 21",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,380
909,Дворец Великого князя Николая Николаевича (Ксенинский институт),1,Сад,1861,1850-1899,Штакеншнейдер А.И,"Конногвардейский бульвар, 21",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,384
910,Дворец Великого князя Николая Николаевича (Ксенинский институт),1,Конюшни главные дворцовые,1853,1850-1899,Штакеншнейдер А.И,"Конногвардейский бульвар, 21, лит. В4",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,377
911,Дворец Великого князя Николая Николаевича (Ксенинский институт),1,Конюшни дежурные,1853,1850-1899,Штакеншнейдер А.И,"Конногвардейский бульвар, 21, лит. В5",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,378
912,Дворец Великого князя Николая Николаевича (Ксенинский институт),1,Манеж,1853,1850-1899,Штакеншнейдер А.И,"Конногвардейский бульвар, 21; лит. В2",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,379
913,Дворец Великого князя Николая Николаевича (Ксенинский институт),1,Корпус служебный,1853,1850-1899,Штакеншнейдер А.И,"Конногвардейский бульвар, 21; лит. Г",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,381
914,Дворец Великого князя Николая Николаевича (Ксенинский институт),1,Дворец,1853,1850-1899,Штакеншнейдер А.И,"Труда пл., 4; Конногвардейский бульвар, 23; Галерная ул., 24-б",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,382
915,,0,"Покровский сквер с местом, где в 1798-1934 гг. находилась церковь Покрова Пресвятой Богородицы",1798,1750-1799,Н.Л. Бенуа;Р.Ф. Катцер,Тургенева пл,Адмиралтейский,1,1,Распоряжение КГИОП № 1444-рп от 26.11.2024,993
916,,0,Жилой дом,1815,1800-1849,,"Фонтанки р. наб., 102 (левый дом)",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1000
917,,0,Дом Герварт,1810,1800-1849,К.З. Михеев ;К.К. Кох,"Фонтанки р. наб., 103",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1001
918,,0,Дом В.И. Епифанова,1824,1800-1849,Е.И. Диммерт ;А.К. Бруни,"Фонтанки р. наб., 105",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1002
919,,0,Измайловский сад,1800,1800-1849,,"Фонтанки р. наб., 114",Адмиралтейский,1,1,Решение исполкома Ленгорсовета № 849 от 31.10.1988,399
920,,0,Дворец Юсуповых,1800,1800-1849,,"Фонтанки р. наб., 115; Садовая ул., 50-а",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,400
921,Дворец Юсуповых,1,Ограда с воротами,1836,1800-1849,Трофимович В.;Кольман К,"Садовая ул., 50-а",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,401
922,Дворец Юсуповых,1,Сад Юсуповский,1800,1800-1849,Кваренги Д,"Садовая ул., 50-а",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,402
923,Дворец Юсуповых,1,Дворец с флигелями,1800,1800-1849,Кваренги Д,"Фонтанки р. наб., 115",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,403
924,Дворец Юсуповых,1,Павильон,1790,1750-1799,Кваренги Д,"Фонтанки р. наб., 115",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,404
925,,0,Здание Главного управления путей сообщения и публичных зданий,1850,1850-1899,Н .П. Гребенка;А.М. Болотов,"Фонтанки р. наб., 117 (левая часть)",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1003
926,Здание Главного управления путей сообщения и публичных зданий,1,Главное здание,1800,1800-1849,Н.П. Гребенка,"Фонтанки р. наб., 117 (левая часть)",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1004
927,Здание Главного управления путей сообщения и публичных зданий,1,Квартирный флигель,1859,1850-1899,Н.П. Гребенка,"Фонтанки р. наб., 117 (левая часть)",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1005
928,,0,Усадьба Державина Г.Р,1791,1750-1799,Пильников Г.П.;Львов Н.А.;Горностаев А.М,"Фонтанки р. наб., 118",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,406
929,Усадьба Державина Г.Р,1,Флигели (два),1791,1750-1799,Пильников Г.П.;Львов Н.А.;Горностаев А.М,"Фонтанки р. наб., 118",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,10409
930,Усадьба Державина Г.Р,1,Главный дом. Здесь в 1791-1816 гг. жил поэт Державин Г.Р,1791,1750-1799,Пильников Г.П.;Львов Н.А.;Горностаев А.М,"Фонтанки р. наб., 118",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,407
931,Усадьба Державина Г.Р,1,Ограда,1810,1800-1849,,"Фонтанки р. наб., 118",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,408
932,Усадьба Державина Г.Р,1,Сад,1790,1750-1799,Гаврилов В.Г.;Горностаев А.М.;Гумлер А,"Фонтанки р. наб., 118",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,409
933,,0,Дом М.Д. Тарасовой,1849,1800-1849,А.М. Болотов,"Фонтанки р. наб., 119",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1006
934,,0,Дом В.Г. и О.М. Чубаковых,1912,1900-1949,И.И. Долгинов,"Фонтанки р. наб., 126",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1007
935,,0,Особняк П.А. Поповой (с флигелями),1822,1800-1849,А.И. Мельников,"Фонтанки р. наб., 130",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1008
936,,0,Дом С.И. и Б.И. Марголиных,1837,1800-1849,А.Л. Лишневский,"Фонтанки р. наб., 131; Большая Подьяческая ул., 36",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1009
937,,0,Здание (многоквартирный дом),1866,1850-1899,,"Фонтанки р. наб., 132, лит. З",Адмиралтейский,1,2,Распоряжение КГИОП № 290-р от 17.06.2019,11003
938,,0,Дом Д.Р. Сорокина,1896,1850-1899,С.А. Баранкеев,"Фонтанки р. наб., 139",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1010
939,,0,Экспедиция заготовления государственных бумаг,2000,2000-2049,,"Фонтанки р. наб., 144, 144-а; Рижский пр., 3, 5, 7, 9, 11",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,412
940,Экспедиция заготовления государственных бумаг,1,Школа техническая,1903,1900-1949,Бах Е.Р,"Рижский пр., 11, корп. 35",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,416
941,Экспедиция заготовления государственных бумаг,1,Дом собрания рабочих и служащих,1903,1900-1949,Бах Е.Р,"Рижский пр., 3, лит. Д",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,413
942,Экспедиция заготовления государственных бумаг,1,Церковь Преподобномученика Андрея Критского,1891,1850-1899,Маевский К.Я,"Рижский пр., 9, корп. 34",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,415
943,Экспедиция заготовления государственных бумаг,1,Палисадник,1900,1900-1949,,"Фонтанки р. наб., 144",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,414
944,Экспедиция заготовления государственных бумаг,1,Сад,1900,1900-1949,,"Фонтанки р. наб., 144",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,423
945,Экспедиция заготовления государственных бумаг,1,Подстанция трансформаторная,1910,1900-1949,,"Фонтанки р. наб., 144, корп. 19",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,420
946,Экспедиция заготовления государственных бумаг,1,"Корпуса производственные и служебные, казармы рабочих (девять зданий)",1857,1850-1899,Жибер Э.И.;Маевский К.Я,"Фонтанки р. наб., 144, корп. 2, 4, 7, 8, 11, 20; Фонтанки р. наб., 144-а, лит. В, лит. В1, лит. В2; Рижский пр., 5, лит. А, Рижский пр. 7, корп. 1",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,422
947,Экспедиция заготовления государственных бумаг,1,Весовая,1900,1900-1949,,"Фонтанки р. наб., 144, корп. 33",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,417
948,Экспедиция заготовления государственных бумаг,1,Типография,1905,1900-1949,Бах Е.Р,"Фонтанки р. наб., 144, корп. 37",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,419
949,Экспедиция заготовления государственных бумаг,1,Заводоуправление и служебный корпус,1816,1800-1849,Бетанкур А.А.;Третер Г,"Фонтанки р. наб., 144, лит. Ж, З",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,418
950,Экспедиция заготовления государственных бумаг,1,Ограда,1850,1850-1899,,"Фонтанки р. наб., 144; Рижский пр., 5, 7",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,421
951,,0,Дом Зыковых,1910,1900-1949,Д.Г. Фомичев,"Фонтанки р. наб., 145; Макаренко пер., 14",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1012
952,,0,Елизаветинская клиническая больница с территорией и садом,1844,1800-1849,,"Фонтанки р. наб., 152; Рижский пр., 21",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,424
953,Елизаветинская клиническая больница с территорией и садом,1,Одноэтажное здание фермы,1871,1850-1899,Гедике Р.А,"Рижский пр., 21",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,425
954,Елизаветинская клиническая больница с территорией и садом,1,Здание по Рижскому пр. - б. Александро-Мариинская лечебница для приходящих больных,1810,1800-1849,,"Рижский пр., 21",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,426
955,Елизаветинская клиническая больница с территорией и садом,1,Одноэтажное здание для заразных больных,1897,1850-1899,Гейслер М.Ф.;Гуслистый Б.Ф.;Балинский П.И,"Рижский пр., 21",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,428
956,Елизаветинская клиническая больница с территорией и садом,1,2-этажный амбулаторный корпус,1870,1850-1899,Гедике Р.А,"Рижский пр., 21",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,429
957,Елизаветинская клиническая больница с территорией и садом,1,Перестройка главного здания больницы и 2-этажная пристройка для паровых котлов,1869,1850-1899,Гедике Р.А,"Фонтанки р. наб., 152",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,431
958,Елизаветинская клиническая больница с территорией и садом,1,Одноэтажные службы и 3 корпуса,1887,1850-1899,Р.А.Гедике,"Фонтанки р. наб., 152; Рижский пр., 21",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,10738
959,Елизаветинская клиническая больница с территорией и садом,1,"Часовня (местоположение не установлено). Мемориальная доска на здании по Рижскому пр.: ""Б.Елизаветинская клиническая больница для малолетних детей. Основана в 1844 г. В 1917 г. переименована в детскую больницу""",NA,,,"Фонтанки р. наб., 152; Рижский пр., 21",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,10737
960,,0,Дом Аудиторского департамента Военного министерства,1810,1800-1849,,"Фонтанки р. наб., 153; Лермонтовский пр., 37",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1013
961,,0,Крестовоздвиженская община сестер милосердия,1750,1750-1799,,"Фонтанки р. наб., 154; Циолковского ул., 1",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,436
962,Крестовоздвиженская община сестер милосердия,1,Главное здание по наб.р.Фонтанки,1892,1850-1899,Бенуа Ю.Ю,"Фонтанки р. наб., 154; Циолковского ул., 1",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,437
963,Крестовоздвиженская община сестер милосердия,1,3 флигеля,1893,1850-1899,Бенуа Ю.Ю,"Фонтанки р. наб., 154; Циолковского ул., 1",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,438
964,,0,Особняк Ноинских,1790,1750-1799,,"Фонтанки р. наб., 155",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1014
965,,0,Доходный дом К.Н. Капустина,1910,1900-1949,Бубырь А.Ф,"Фонтанки р. наб., 159; Климов пер., 9",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,440
966,,0,"Здание Благородного пансиона, где в 1818-1820 гг. учился композитор Глинка М.И. Здесь преподавал декабрист Кюхельбекер В.К., учились декабристы Глебов М.Н. в 1818-1821 гг., Плещеев А.А. в 1818-1820 гг. и др. представители общественной и культурной жизни",NA,,,"Фонтанки р. наб., 164",Адмиралтейский,1,1,Закон Санкт-Петербурга № 174-27 от 05.07.1999,441
967,,0,Особняк П.Д. Семеновой,1790,1750-1799,А.А. Михайлов,"Фонтанки р. наб., 169",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1027
968,,0,Дом и фабрика шелковых изделий А.И. Ниссена,1850,1850-1899,В.А. Шретер;И.С. Китнер,"Фонтанки р. наб., 183; Калинкин пер., 1; Лабутина ул., 32-34",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1028
969,Дом и фабрика шелковых изделий А.И. Ниссена,1,Фабрика,1872,1850-1899,В.А. Шретер;И.С. Китнер ;В.А. Шретер,"Лабутина ул., 34",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1030
970,Дом и фабрика шелковых изделий А.И. Ниссена,1,Ледник,1872,1850-1899,В.А. Шретер,"Фонтанки р. наб., 183; Калинкин пер., 1; Лабутина ул., 32-34 (двор)",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1031
971,Дом и фабрика шелковых изделий А.И. Ниссена,1,Доходный дом,1853,1850-1899,В.А. Шретер;И.С. Китнер,"Фонтанки р. наб., 183; Калинкин пер., 1; Лабутина ул., 34",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1029
972,,0,Дом Богдановича,1833,1800-1849,Богданович,"Фонтанки р. наб., 189",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1032
973,,0,Комплекс построек Адмиралтейского судостроительного завода,1900,1900-1949,Э.Х. Анерт;И.Г. Гомзин;Л.Л. Карбоньер;П.П. Базен;В.П. Лебедев;А.А. Попов;Н.П. Дуткин;С.Н. Будзынский,"Фонтанки р. наб., 203; Ново-Адмиралтейского кан. наб.; Невы р. наб",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1033
974,Комплекс построек Адмиралтейского судостроительного завода,1,Главное корабельное здание,1830,1800-1849,Э.Х. Анерт;И.Г. Гомзин ;Н.П. Дуткин;С.Н. Будзынский,Административное здание; Новое Адмиралтейство,Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1041
975,Комплекс построек Адмиралтейского судостроительного завода,1,Разбивочный плаз,1914,1900-1949,Н.П. Козлов,Галерный островок,Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1045
976,Комплекс построек Адмиралтейского судостроительного завода,1,Дом управляющего,1850,1850-1899,,Здание морского регистра; Матисов остров,Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1043
977,Комплекс построек Адмиралтейского судостроительного завода,1,Караульный дом,1830,1800-1849,Э.Х. Анерт,Северная проходная; Новое Адмиралтейство,Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1034
978,Комплекс построек Адмиралтейского судостроительного завода,1,Нарядный дом,1830,1800-1849,Э. Х. Анерт;И.Г. Гомзин ;Н.П. Дуткин,Фотолаборатория; Новое Адмиралтейство,Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1039
979,Комплекс построек Адмиралтейского судостроительного завода,1,Мастерская,1830,1800-1849,Л.Л. Карбоньер;Э.Х. Анерт;И.Г. Гомзин,Цех № 15; Новое Адмиралтейство,Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1038
980,Комплекс построек Адмиралтейского судостроительного завода,1,Мастерская,1890,1850-1899,,Цех № 16 и центральная лаборатория; Матисов остров,Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1042
981,Комплекс построек Адмиралтейского судостроительного завода,1,Три металлических сарая,1879,1850-1899,Г.А. Власов,Цех № 1; Новое Адмиралтейство,Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1040
982,Комплекс построек Адмиралтейского судостроительного завода,1,Главная электрическая станция,1909,1900-1949,А.И. Дмитриев,Цех № 22; Галерный островок,Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1044
983,Комплекс построек Адмиралтейского судостроительного завода,1,Кузница,1830,1800-1849,Л.Л. Карбоньер;Э.Х. Анерт;И.Г. Гомзин,Цех № 30; Новое Адмиралтейство,Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1037
984,Комплекс построек Адмиралтейского судостроительного завода,1,Главная судостроительная мастерская с кузницей,1910,1900-1949,А.И. Дмитриев,Цех № 6; Галерный островок,Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1046
985,Комплекс построек Адмиралтейского судостроительного завода,1,"Канцелярия, чертежная и бухгалтерия",1902,1900-1949,В.П. Апышков,Цех № 8; Галерный островок,Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1047
986,Комплекс построек Адмиралтейского судостроительного завода,1,Малый каменный эллинг,1833,1800-1849,Э.Х. Анерт;Л.Л. Карбоньер;П.П. Базен;В.П. Лебедев;А.А. Попов ;С.Н. Будзынский,Эллинг № 1; Новое Адмиралтейство,Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1035
987,Комплекс построек Адмиралтейского судостроительного завода,1,Большой каменный эллинг с мастерской,1893,1850-1899,Н.П. Дуткин;С.Н. Будзынский,"Эллинг № 2, цех № 29; Новое Адмиралтейство",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,1036
988,,0,Дом Яковлевых (Евментьева А.Ф.),1780,1750-1799,ФерридеПиньи Е.И,"Фонтанки р. наб., 81; Гороховая ул., 57",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,386
989,,0,Дом И. Яковлева,1790,1750-1799,В. Богданов,"Фонтанки р. наб., 83",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,995
990,,0,Дом кн. З.Н. Юсуповой с флигелями и фонтаном во дворе,1902,1900-1949,Шмеллинг Л.В,"Фонтанки р. наб., 85",Адмиралтейский,1,1,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,387
991,,0,Дом Лебедева,1808,1800-1849,,"Фонтанки р. наб., 87",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,390
992,,0,Дом Г.Г. фон Лерхе,1810,1800-1849,К.Э. Маккензен,"Фонтанки р. наб., 89",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,996
993,,0,Казармы местных войск,1787,1750-1799,Волков Ф.И,"Фонтанки р. наб., 90, корп. 1-3, 8",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,391
994,Казармы местных войск,1,Главный корпус,1787,1750-1799,Волков Ф.И,"Фонтанки р. наб., 90, корп. 1-3, 8",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,392
995,Казармы местных войск,1,Флигели (четыре),1787,1750-1799,Волков Ф.И,"Фонтанки р. наб., 90, корп. 1-3, 8",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,393
996,,0,Дом Устинова К. (Петровых),1817,1800-1849,Шарлемань И.И. 1ый,"Фонтанки р. наб., 92; Гороховая ул., 59",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,394
997,,0,"Дом, где в 1906 г. помещалась типография товарищества ""Дело"", печатавшая газеты ""Волна"", ""Вперед"", ""Новая волна"", ""Эхо""",NA,,,"Фонтанки р. наб., 96, кв. 54",Адмиралтейский,1,1,Закон Санкт-Петербурга № 141-47 от 02.07.1997,395
998,,0,Дома Полторацкой С.М. (три),1790,1750-1799,,"Фонтанки р. наб., 97, 99, 101",Адмиралтейский,1,1,Закон Санкт-Петербурга № 141-47 от 02.07.1997,10510
999,,0,"Комплекс построек Электротехнического завода фирмы ""Савельев и Ко""",1899,1850-1899,В.В. Шауб;Л.Л. Фуфаевский,"Циолковского ул., 9-11; Обводного кан. наб., 195",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,845
1000,"Комплекс построек Электротехнического завода фирмы ""Савельев и Ко""",1,Производственный корпус,1899,1850-1899,В.В. Шауб,"Циолковского ул., 9-11; Обводного кан. наб., 195, лит. А",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,846
1001,"Комплекс построек Электротехнического завода фирмы ""Савельев и Ко""",1,Проиводственный корпус,1901,1900-1949,Л.Л. Фуфаевский,"Циолковского ул., 9-11; Обводного кан. наб., 195, лит. Г",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,847
1002,,0,Обелиски с фонарями Подъяческого моста,1808,1800-1849,Гесте В.И,Через Грибоедова канал по оси Фонарного пер,Адмиралтейский,1,1,Распоряжение мэра Санкт-Петербурга № 108-р от 30.01.1992,10205
1003,,0,Старо-Никольский мост,1782,1750-1799,А.П. Пшеницкий,Через Крюков канал по Садовой ул,Адмиралтейский,1,1,Решение исполкома Ленгорсовета № 963 от 05.12.1988,10216
1004,,0,Тюремный мост,1782,1750-1799,Берсенева Т.В.;Андреевский П.В,Через Крюков канал по наб. р. Мойки,Адмиралтейский,1,1,Решение исполкома Ленгорсовета № 963 от 05.12.1988,10215
1005,,0,Смежный мост,1782,1750-1799,,Через Крюков канал по р. Фонтанки наб,Адмиралтейский,1,1,Распоряжение мэра Санкт-Петербурга № 108-р от 30.01.1992,10218
1006,,0,Офицерский мост,1782,1750-1799,А.П. Пшеницкий,Через Крюков канал по ул. Декабристов,Адмиралтейский,1,1,Решение исполкома Ленгорсовета № 963 от 05.12.1988,10214
1007,,0,Торговый мост,1782,1750-1799,А.Д. Гутцайт;А.Л. Ротач,Через Крюков канал по ул. Союза Печатников,Адмиралтейский,1,1,Решение исполкома Ленгорсовета № 963 от 05.12.1988,10217
1008,,0,Варшавский мост,1869,1850-1899,,Через Обводный канал по Измайловскому пр,Адмиралтейский,1,1,Распоряжение мэра Санкт-Петербурга № 108-р от 30.01.1992,10231
